,MV (50d),BL (50d),MV (80d),BL (80d),MV (100d),BL (100d),MV (120d),BL (120d),MV (150d),BL (150d),EQW,^DJI,SPY
Start Period,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05,1994-01-05
End Period,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23
Risk-Free Rate,0,0,0,0,0,0,0,0,0,0,0,0,0
Time in Market,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,1.0,1.0,1.0
Cumulative Return,9.56,35.71,12.82,48.44,15.54,54.73,15.31,51.72,23.84,36.69,47.8,9.34,17.78
CAGR﹪,0.08,0.13,0.09,0.14,0.1,0.14,0.1,0.14,0.11,0.13,0.14,0.08,0.1
Sharpe,0.48,0.75,0.53,0.85,0.55,0.89,0.56,0.89,0.63,0.81,0.76,0.52,0.61
Prob. Sharpe Ratio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Smart Sharpe,0.45,0.71,0.5,0.81,0.52,0.84,0.53,0.84,0.6,0.77,0.71,0.49,0.57
Sortino,0.67,1.1,0.76,1.27,0.79,1.32,0.8,1.3,0.92,1.18,1.09,0.74,0.86
Smart Sortino,0.63,1.03,0.72,1.19,0.74,1.25,0.75,1.23,0.87,1.11,1.03,0.7,0.82
Sortino/√2,0.48,0.78,0.54,0.9,0.56,0.93,0.56,0.92,0.65,0.83,0.77,0.52,0.61
Smart Sortino/√2,0.45,0.73,0.51,0.84,0.53,0.88,0.53,0.87,0.61,0.79,0.73,0.49,0.58
Omega,1.1,1.16,1.11,1.17,1.11,1.18,1.11,1.18,1.13,1.16,1.15,1.1,1.12
Max Drawdown,-0.64,-0.45,-0.56,-0.4,-0.56,-0.4,-0.52,-0.4,-0.4,-0.41,-0.59,-0.54,-0.55
Max DD Date,2009-03-09,2000-03-10,2009-03-09,2009-03-09,2008-11-21,2009-03-09,2009-03-05,2009-03-09,2003-03-13,2009-03-09,2009-03-05,2009-03-09,2009-03-09
Max DD Period Start,2007-07-20,1999-08-26,2008-05-30,2007-12-11,2008-06-06,2007-12-14,2007-07-18,2007-12-27,2000-03-28,2007-12-27,2007-10-10,2007-10-10,2007-10-10
Max DD Period End,2015-11-19,2000-12-04,2013-01-03,2010-12-15,2012-07-27,2010-11-03,2013-10-24,2010-12-22,2006-10-19,2011-05-02,2010-12-09,2013-03-04,2012-08-15
Longest DD Days,3045,1352,1680,1101,2684,1056,2291,1092,2397,1223,1157,2450,2404
Volatility (ann.),0.21,0.18,0.21,0.17,0.21,0.16,0.2,0.16,0.2,0.16,0.2,0.18,0.19
Calmar,0.13,0.28,0.16,0.34,0.18,0.36,0.19,0.35,0.28,0.32,0.23,0.15,0.19
Skew,-0.21,0.12,0.07,0.39,-0.13,0.34,-0.18,0.28,0.38,0.14,-0.06,-0.17,-0.06
Kurtosis,26.44,14.91,22.6,10.2,26.42,9.91,15.16,10.32,16.78,10.91,11.07,12.17,11.11
Expected Daily,0,0,0,0,0,0,0,0,0,0,0,0,0
Expected Monthly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Expected Yearly,0.08,0.12,0.09,0.13,0.09,0.14,0.09,0.14,0.11,0.12,0.13,0.08,0.1
Kelly Criterion,-,-,-,-,-,-,-,-,-,-,-,-,-
Risk of Ruin,-,-,-,-,-,-,-,-,-,-,-,-,-
Daily Value-at-Risk,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
Expected Shortfall (cVaR),-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
Max Consecutive Wins,-,-,-,-,-,-,-,-,-,-,-,-,-
Max Consecutive Losses,-,-,-,-,-,-,-,-,-,-,-,-,-
Gain/Pain Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
Gain/Pain (1M),-,-,-,-,-,-,-,-,-,-,-,-,-
Payoff Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
Profit Factor,1.1,1.16,1.11,1.17,1.11,1.18,1.11,1.18,1.13,1.16,1.15,1.1,1.12
Common Sense Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
CPC Index,-,-,-,-,-,-,-,-,-,-,-,-,-
Tail Ratio,0.95,1.0,0.96,0.99,0.96,0.98,0.94,1.0,0.95,0.98,0.98,0.97,0.94
Outlier Win Ratio,3.76,4.27,3.77,4.44,3.75,4.53,3.76,4.57,3.86,4.63,3.89,4.25,4.08
Outlier Loss Ratio,3.55,4.18,3.6,4.33,3.56,4.37,3.59,4.39,3.61,4.31,3.77,4.08,3.78
MTD,0.03,0.03,0.02,0.03,0.03,0.03,0.01,0.02,0,0.02,0.02,0.03,0.05
3M,0.05,0.09,0.04,0.09,0.15,0.12,0.12,0.12,0.07,0.12,0.1,0.11,0.12
6M,0.01,0.13,0.02,0.11,0.14,0.14,0.14,0.14,0.13,0.15,0.13,0.14,0.17
YTD,0.03,0.03,0.02,0.05,0.1,0.09,0.06,0.07,0.04,0.07,0.02,0.04,0.07
1Y,-0.07,0.13,0.1,0.13,0.16,0.16,0.08,0.13,0.05,0.15,0.12,0.18,0.29
3Y (ann.),0.02,0.04,0.07,0.05,0.09,0.08,0.12,0.07,0.1,0.09,0.07,0.06,0.11
5Y (ann.),0.13,0.06,0.18,0.09,0.19,0.11,0.16,0.12,0.22,0.11,0.11,0.09,0.15
10Y (ann.),0.13,0.1,0.15,0.11,0.16,0.12,0.16,0.13,0.19,0.12,0.11,0.09,0.13
All-time (ann.),0.08,0.13,0.09,0.14,0.1,0.14,0.1,0.14,0.11,0.13,0.14,0.08,0.1
Best Day,0.21,0.12,0.2,0.11,0.21,0.11,0.16,0.11,0.19,0.11,0.12,0.11,0.15
Worst Day,-0.18,-0.12,-0.17,-0.08,-0.18,-0.08,-0.15,-0.08,-0.13,-0.09,-0.11,-0.13,-0.11
Best Month,0.22,0.18,0.18,0.16,0.22,0.15,0.24,0.15,0.22,0.16,0.19,0.14,0.13
Worst Month,-0.24,-0.21,-0.2,-0.14,-0.22,-0.14,-0.18,-0.15,-0.15,-0.16,-0.16,-0.15,-0.17
Best Year,0.53,0.55,0.52,0.48,0.5,0.55,0.39,0.55,0.62,0.59,0.46,0.33,0.38
Worst Year,-0.51,-0.24,-0.41,-0.21,-0.4,-0.2,-0.31,-0.2,-0.22,-0.21,-0.37,-0.34,-0.37
Avg. Drawdown,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02
Avg. Drawdown Days,47,26,40,24,41,23,40,23,34,24,23,37,27
Recovery Factor,-,-,-,-,-,-,-,-,-,-,-,-,-
Ulcer Index,0.23,0.12,0.14,0.08,0.15,0.08,0.16,0.08,0.11,0.09,0.1,0.13,0.15
Serenity Index,0.45,0.97,0.78,1.42,0.78,1.45,0.71,1.4,1.1,1.2,1.42,0.63,0.71
Avg. Up Month,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04
Avg. Down Month,-0.05,-0.05,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.06,-0.05
Win Days,0.53,0.54,0.53,0.54,0.53,0.54,0.53,0.54,0.54,0.55,0.54,0.53,0.54
