,MV (50d),BL (50d),MV (80d),BL (80d),MV (100d),BL (100d),MV (120d),BL (120d),MV (150d),BL (150d),EQW,^DJI,SPY
Start Period,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06,1999-01-06
End Period,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23,2024-02-23
Risk-Free Rate,0,0,0,0,0,0,0,0,0,0,0,0,0
Time in Market,0.94,1.0,0.93,0.99,0.93,0.99,0.94,0.99,0.94,0.98,1.0,1.0,1.0
Cumulative Return,6.84,4.36,12.17,4.08,5.59,4.26,7.13,3.86,7.28,3.71,4.08,3.2,5.39
CAGR﹪,0.09,0.07,0.11,0.07,0.08,0.07,0.09,0.07,0.09,0.06,0.07,0.06,0.08
Sharpe,0.51,0.44,0.61,0.43,0.47,0.44,0.52,0.43,0.52,0.42,0.42,0.4,0.48
Prob. Sharpe Ratio,0.99,0.99,1.0,0.98,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.99
Smart Sharpe,0.49,0.42,0.58,0.41,0.45,0.42,0.49,0.41,0.49,0.4,0.4,0.38,0.45
Sortino,0.73,0.62,0.87,0.6,0.65,0.62,0.71,0.59,0.72,0.58,0.58,0.57,0.67
Smart Sortino,0.69,0.59,0.83,0.58,0.62,0.59,0.68,0.57,0.69,0.56,0.55,0.54,0.64
Sortino/√2,0.51,0.44,0.61,0.43,0.46,0.44,0.51,0.42,0.51,0.41,0.41,0.4,0.48
Smart Sortino/√2,0.49,0.42,0.59,0.41,0.44,0.42,0.48,0.4,0.48,0.39,0.39,0.38,0.46
Omega,1.1,1.09,1.12,1.09,1.09,1.09,1.1,1.09,1.1,1.08,1.08,1.08,1.09
Max Drawdown,-0.58,-0.58,-0.39,-0.58,-0.49,-0.58,-0.54,-0.58,-0.55,-0.59,-0.6,-0.54,-0.55
Max DD Date,2009-03-03,2009-03-09,2020-03-23,2008-11-20,2008-09-17,2008-11-20,2008-09-17,2008-11-20,2012-06-04,2008-11-20,2008-11-20,2009-03-09,2009-03-09
Max DD Period Start,2007-10-30,2007-11-01,2018-01-29,2007-11-01,2007-10-30,2007-11-01,2007-11-01,2007-11-01,2010-11-05,2007-11-01,2007-11-01,2007-10-10,2007-10-10
Max DD Period End,2010-08-26,2011-04-20,2021-04-01,2010-11-01,2009-10-07,2010-11-03,2010-09-28,2010-11-03,2021-08-31,2010-11-03,2011-04-26,2013-03-04,2012-08-15
Longest DD Days,1360,1436,2530,1423,4151,1410,2630,1408,3953,1374,1453,2450,2404
Volatility (ann.),0.2,0.19,0.2,0.19,0.21,0.19,0.2,0.19,0.2,0.19,0.21,0.19,0.2
Calmar,0.15,0.12,0.28,0.11,0.16,0.12,0.16,0.11,0.16,0.11,0.11,0.11,0.14
Skew,0.01,-0.29,-0.17,-0.28,-0.42,-0.24,-0.5,-0.23,-0.47,-0.27,-0.28,-0.11,-0.01
Kurtosis,10.52,13.09,14.79,14.48,12.06,14.71,11.56,14.9,9.9,14.86,12.33,12.25,11.16
Expected Daily,0,0,0,0,0,0,0,0,0,0,0,0,0
Expected Monthly,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01
Expected Yearly,0.08,0.07,0.1,0.06,0.08,0.07,0.08,0.06,0.08,0.06,0.06,0.06,0.07
Kelly Criterion,-,-,-,-,-,-,-,-,-,-,-,-,-
Risk of Ruin,-,-,-,-,-,-,-,-,-,-,-,-,-
Daily Value-at-Risk,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
Expected Shortfall (cVaR),-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
Max Consecutive Wins,-,-,-,-,-,-,-,-,-,-,-,-,-
Max Consecutive Losses,-,-,-,-,-,-,-,-,-,-,-,-,-
Gain/Pain Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
Gain/Pain (1M),-,-,-,-,-,-,-,-,-,-,-,-,-
Payoff Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
Profit Factor,1.1,1.09,1.12,1.09,1.09,1.09,1.1,1.09,1.1,1.08,1.08,1.08,1.09
Common Sense Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-
CPC Index,-,-,-,-,-,-,-,-,-,-,-,-,-
Tail Ratio,0.96,0.94,0.96,0.93,0.95,0.94,0.96,0.92,0.97,0.93,0.93,0.96,0.92
Outlier Win Ratio,4.28,4.21,4.24,4.28,4.2,4.3,4.24,4.34,4.2,4.4,3.81,4.32,4.15
Outlier Loss Ratio,3.79,4.17,3.82,4.22,3.64,4.24,3.72,4.22,3.7,4.19,3.83,4.38,4.04
MTD,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.05,0.03,0.03,0.03,0.05
3M,0.07,0.07,0.07,0.06,0.04,0.06,0.08,0.06,0.11,0.07,0.07,0.11,0.12
6M,0.11,0.09,0.08,0.07,0.03,0.07,0.13,0.07,0.11,0.07,0.09,0.14,0.17
YTD,0.04,0.01,0.04,0,0.04,0,0.07,0.01,0.07,0.01,0.01,0.04,0.07
1Y,0.06,0.11,0.1,0.08,0.05,0.06,0.17,0.07,0.17,0.09,0.11,0.18,0.29
3Y (ann.),0.04,0.04,0.13,0.03,0.19,0.02,0.25,0.02,0.24,0.02,0.04,0.06,0.11
5Y (ann.),0.06,0.06,0.09,0.05,0.09,0.05,0.18,0.05,0.2,0.05,0.06,0.09,0.15
10Y (ann.),0.03,0.04,0.05,0.03,0.04,0.03,0.08,0.03,0.1,0.03,0.04,0.09,0.13
