Date,portfolio_mv,portfolio_bl
1999-01-05,0.0,0.0
1999-01-06,0.0,0.0
1999-01-07,0.0,0.0
1999-01-08,0.0,0.0
1999-01-11,0.0,0.0
1999-01-12,0.0,0.0
1999-01-13,0.0,0.0
1999-01-14,0.0,0.0
1999-01-15,0.0,0.0
1999-01-19,0.0,0.0
1999-01-20,0.0,0.0
1999-01-21,0.0,0.0
1999-01-22,0.0,0.0
1999-01-25,0.0,0.0
1999-01-26,0.0,0.0
1999-01-27,0.0,0.0
1999-01-28,0.0,0.0
1999-01-29,0.0,0.0
1999-02-01,0.0,0.0
1999-02-02,0.0,0.0
1999-02-03,0.0,0.0
1999-02-04,0.0,0.0
1999-02-05,0.0,0.0
1999-02-08,0.0,0.0
1999-02-09,0.0,0.0
1999-02-10,0.0,0.0
1999-02-11,0.0,0.0
1999-02-12,0.0,0.0
1999-02-16,0.0,0.0
1999-02-17,0.0,0.0
1999-02-18,0.0,0.0
1999-02-19,0.0,0.0
1999-02-22,0.0,0.0
1999-02-23,0.0,0.0
1999-02-24,0.0,0.0
1999-02-25,0.0,0.0
1999-02-26,0.0,0.0
1999-03-01,0.0,0.0
1999-03-02,0.0,0.0
1999-03-03,0.0,0.0
1999-03-04,0.0,0.0
1999-03-05,0.0,0.0
1999-03-08,0.0,0.0
1999-03-09,0.0,0.0
1999-03-10,0.0,0.0
1999-03-11,0.0,0.0
1999-03-12,0.0,0.0
1999-03-15,0.0,0.0
1999-03-16,0.0,0.0
1999-03-17,0.0,0.0
1999-03-18,0.0,0.0
1999-03-19,0.0,0.0
1999-03-22,0.0,0.0
1999-03-23,0.0,0.0
1999-03-24,0.0,0.0
1999-03-25,0.0,0.0
1999-03-26,0.0,0.0
1999-03-29,0.0,0.0
1999-03-30,0.0,0.0
1999-03-31,0.0,0.0
1999-04-01,0.0,0.0
1999-04-05,0.0,0.0
1999-04-06,0.0,0.0
1999-04-07,0.0,0.0
1999-04-08,0.0,0.0
1999-04-09,0.0,0.0
1999-04-12,0.0,0.0
1999-04-13,0.0,0.0
1999-04-14,0.0,0.0
1999-04-15,0.0,0.0
1999-04-16,0.0,0.0
1999-04-19,0.0,0.0
1999-04-20,0.0,0.0
1999-04-21,0.0,0.0
1999-04-22,0.0,0.0
1999-04-23,0.0,0.0
1999-04-26,0.0,0.0
1999-04-27,0.0,0.0
1999-04-28,0.0,0.0
1999-04-29,0.0,0.0
1999-04-30,0.0,0.0
1999-05-03,0.0,0.0
1999-05-04,0.0,0.0
1999-05-05,0.0,0.0
1999-05-06,0.0,0.0
1999-05-07,0.0,0.0
1999-05-10,0.0,0.0
1999-05-11,0.0,0.0
1999-05-12,0.0,0.0
1999-05-13,0.0,0.0
1999-05-14,0.0,0.0
1999-05-17,0.0,0.0
1999-05-18,0.0,0.0
1999-05-19,0.0,0.0
1999-05-20,0.0,0.0
1999-05-21,0.0,0.0
1999-05-24,0.0,0.0
1999-05-25,0.0,0.0
1999-05-26,0.0,0.0
1999-05-27,0.0,0.0
1999-05-28,0.0,0.0
1999-06-01,0.0,0.0
1999-06-02,0.0,0.0
1999-06-03,0.0,0.0
1999-06-04,0.0,0.0
1999-06-07,0.0,0.0
1999-06-08,0.0,0.0
1999-06-09,0.0,0.0
1999-06-10,0.0,0.0
1999-06-11,0.0,0.0
1999-06-14,0.0,0.0
1999-06-15,0.0,0.0
1999-06-16,0.0,0.0
1999-06-17,0.0,0.0
1999-06-18,0.0,0.0
1999-06-21,0.0,0.0
1999-06-22,0.0,0.0
1999-06-23,0.0,0.0
1999-06-24,0.0,0.0
1999-06-25,0.0,0.0
1999-06-28,0.0,0.0
1999-06-29,0.0,0.0
1999-06-30,0.0,0.0
1999-07-01,0.0,0.0
1999-07-02,0.013184631595401026,0.005833192673269245
1999-07-06,-0.0033414591020829677,0.005245463453557828
1999-07-07,-0.007209489969216221,-0.008318080670896861
1999-07-08,-0.0030106213745648117,-0.001808020227851336
1999-07-09,-0.008983571765014171,-0.004374305966095347
1999-07-12,-0.009880995092272806,-0.0005072906196281543
1999-07-13,-0.015659180059360064,-0.00854833533340501
1999-07-14,0.012953002252181618,0.002450140908536808
1999-07-15,0.003810906691935028,0.01260521859272668
1999-07-16,-0.007358313428425077,-0.009079354110084011
1999-07-19,0.005946987510450884,0.008948809233728856
1999-07-20,-0.013472180764321617,-0.006533671949980929
1999-07-21,0.00016463137738024613,-0.004265548400265895
1999-07-22,-0.021889274870154886,-0.01519274312589489
1999-07-23,-0.02069711267717484,-0.0022705459478478884
1999-07-26,-0.02189301930447717,-0.0025860890912598675
1999-07-27,0.030995705955705694,0.01638317061045715
1999-07-28,0.006693075793208394,-0.005313959372694598
1999-07-29,-0.032937387066227446,-0.014457993806483778
1999-07-30,0.0044370384047793384,0.013505639674309745
1999-08-02,-9.96644905097877e-05,-0.0067519294133020135
1999-08-03,0.0021337463673956436,0.006539691108462035
1999-08-04,-0.0028533272101008674,-0.0034512070114986284
1999-08-05,-0.01652636234106903,-0.002284807234782723
1999-08-06,-0.025783029589159335,-0.014416263143988882
1999-08-09,0.005158717245374799,0.013154928284571625
1999-08-10,-0.009131008750484643,-0.01695037779536284
1999-08-11,0.0040716133358784925,0.0072137987838888674
1999-08-12,0.012475313587105016,0.006642468151167195
1999-08-13,0.016527156418738715,0.009255701283181308
1999-08-16,0.003363058503498767,0.000277097294922602
1999-08-17,-0.005799711754918929,0.003976543043204276
1999-08-18,0.006549987316505339,-0.001745411063904943
1999-08-19,0.008480850462534934,-0.0007428284746206663
1999-08-20,0.032432213658869016,0.012394319920720482
1999-08-23,0.010967599628407742,0.006784793762937411
1999-08-24,-0.012306629209265976,-0.004038859555882743
1999-08-25,-0.0028401350158415136,0.009719774961480066
1999-08-26,-0.002244076940092825,-0.00614148258743489
1999-08-27,-0.00893158080615586,-0.0015459372044566494
1999-08-30,0.006938900748050297,-0.003127415060306361
1999-08-31,-0.01982942974595723,-0.00937934201301547
1999-09-01,0.019504454878991512,0.02069475239946641
1999-09-02,-0.01481095578089355,-0.011369203174554992
1999-09-03,0.01621252330593128,0.007113204689884671
1999-09-07,-0.011486975484616045,0.0037622433049088414
1999-09-08,-0.010398043354476133,-0.0035985402310415035
1999-09-09,0.030530746005148518,0.008994259171091482
1999-09-10,-0.0008728595538715506,-0.004009416665808174
1999-09-13,0.002965384675305832,-0.010521415345728292
1999-09-14,-0.007502828209615185,-0.006559506365229518
1999-09-15,-0.0062683589711687,-0.012196984045965807
1999-09-16,-0.0168116323992381,-0.001055282085516787
1999-09-17,0.0173632168538978,0.005542347264517548
1999-09-20,-0.0003987463721180165,0.004227095507931311
1999-09-21,-0.022716648669004955,-0.009846607642234759
1999-09-22,-0.006697216254758559,-0.003530503504585799
1999-09-23,-0.018863779855956598,-0.002682287189180309
1999-09-24,-0.007063386436584557,-0.00628847000329251
1999-09-27,0.007977630507521271,0.008249179152449132
1999-09-28,-0.006538241943598691,-0.0009243756212928387
1999-09-29,-0.0006813932845187181,0.0006240415679959148
1999-09-30,0.012848535778226224,0.006535676073467244
1999-10-01,0.014403539120448757,0.005480913669208368
1999-10-04,0.006497758363335752,0.004266493954485031
1999-10-05,-0.011074697683745088,0.0009969544286426559
1999-10-06,0.015457311417509695,0.004544089334744341
1999-10-07,0.0021480248280121264,0.0009218258420601417
1999-10-08,0.004841537644156966,-0.003656683815431175
1999-10-11,0.008859807724924782,0.0045890961431472276
1999-10-12,-0.0041452892975982454,-0.0008267565894110941
1999-10-13,-0.022277047735600145,-0.011235392819112693
1999-10-14,0.019806278015229696,0.0005402165136352463
1999-10-15,-0.02326790287083116,-0.015398335847267169
1999-10-18,-0.02191387268621412,-0.00945410172623011
1999-10-19,0.023204902275697187,0.009570063393623584
1999-10-20,0.002222530645526478,0.005684215255803284
1999-10-21,-0.005424372622105836,-0.003486681749614965
1999-10-22,0.016754689368188778,0.004540358699876202
1999-10-25,0.007831962127350454,-0.0011204688951516725
1999-10-26,0.008145893008650812,-0.00043253015206793093
1999-10-27,0.0006228830687408444,-0.003380197152969424
1999-10-28,0.008294929570689035,0.013934045303695453
1999-10-29,0.01887386652627135,0.012594445437124801
1999-11-01,-0.008707750238963198,-0.0005859917983961118
1999-11-02,0.0041974265421153055,0.0047120720035727015
1999-11-03,0.0013932732055061665,0.001517163797410121
1999-11-04,0.005275204613792628,-0.0037592247274609537
1999-11-05,0.004470450258660027,0.004071589821233872
1999-11-08,-0.0021245961053315446,-0.0043892462046418584
1999-11-09,-0.00022295048785257653,0.005990418070810343
1999-11-10,0.013327546604557905,0.007125610645744889
1999-11-11,0.004003780740388676,0.010115357399744269
1999-11-12,-0.0017318544380322683,-0.004698555648580281
1999-11-15,0.005860077317218943,0.010058239161742134
1999-11-16,0.005086022782568499,0.0020418210884853537
1999-11-17,0.012961535425145767,0.0049901068927895136
1999-11-18,0.01266709617811365,0.005143498191854922
1999-11-19,-0.0005279003677513527,-0.003385418000598748
1999-11-22,0.0006602236193038728,-0.008345823106212782
1999-11-23,-0.007814511784176473,-0.004856008759124385
1999-11-24,-0.0022363813577653364,-0.007254884665578598
1999-11-26,0.023203848911307386,0.011976346573400546
1999-11-29,-0.003009972146448988,-0.010600303253091633
1999-11-30,-0.018222871228709813,-0.007120182483601847
1999-12-01,-0.0003633675874754989,-0.0004347903728480671
1999-12-02,0.01338443029985279,0.014402637928483173
1999-12-03,0.01758529354289047,0.01484520735479304
1999-12-06,0.011859665382154808,0.0049901174541361485
1999-12-07,0.0069806724096784034,-6.325698335694858e-06
1999-12-08,0.010473962862342697,0.009613657631656957
1999-12-09,-0.0046229493093794816,-0.0036521430503008915
1999-12-10,-0.007615254783525425,-0.0055992783644555
1999-12-13,-0.0009107229482035043,0.003143586376706701
1999-12-14,-0.0003035787019001232,-0.009685311644699384
1999-12-15,-0.006252067175813272,0.0013143505090749332
1999-12-16,0.008738811027191994,0.010888920356386696
1999-12-17,0.005419322756548542,0.009067124201377017
1999-12-20,0.001776449112390662,0.000850689187458243
1999-12-21,-0.008783410718694108,-0.003247650682172432
1999-12-22,0.025095371751803576,0.008037348634488297
1999-12-23,0.013909505690494824,0.012944655298467523
1999-12-27,0.008574547807075677,0.010100857809357489
1999-12-28,0.006687911829632574,-0.007538779709269711
1999-12-29,-0.0010277177527640846,-0.0022795322542065416
1999-12-30,0.013299563354611937,0.014640448879130944
1999-12-31,0.004234930426821369,-0.00795647656536724
2000-01-03,0.009759095538095293,0.020454260473457515
2000-01-04,-0.04605223426970019,-0.029818514420067367
2000-01-05,-0.01521585304756315,0.0042909058928468635
2000-01-06,-0.015739512723427843,-0.008638648544217276
2000-01-07,0.021028481462060333,0.02923608742150691
2000-01-10,0.019653764667189516,0.003198219221007724
2000-01-11,0.0002611436227789051,-0.007458510293239843
2000-01-12,-0.00929709567356675,-0.005716882413729173
2000-01-13,0.008411652443507792,0.0035335023096468754
2000-01-14,0.018487544557630266,0.0062809873797301284
2000-01-18,-0.015158300475800354,-0.026461495378723186
2000-01-19,-0.0031744937394136787,-0.00223631994445201
2000-01-20,0.005258659794923814,-0.006579491230699301
2000-01-21,-0.012233763402567042,-0.008934756264438914
2000-01-24,-0.00623815089031888,-0.009252616078395733
2000-01-25,0.0011907894232183226,-0.0068697278505505536
2000-01-26,0.015760476065689977,0.004949129679880013
2000-01-27,-0.006327974338791251,-0.004182657357207631
2000-01-28,-0.032565700457823234,-0.028823618015143274
2000-01-31,0.0032994837271463416,-0.003062759641157163
2000-02-01,0.021350341626813516,0.0003802150078822266
2000-02-02,0.03692446282217914,0.018036221336665957
2000-02-03,0.015718986562381326,0.009394879831013957
2000-02-04,0.0186261558867362,-0.012164990333441915
2000-02-07,-0.007886178914549584,-0.004790619266183587
2000-02-08,0.013341180556857353,0.017652835154753188
2000-02-09,0.01212710504252206,0.007531889003302682
2000-02-10,-0.010210927096236564,-0.006437553038325048
2000-02-11,-0.003813422979849056,-0.01681733614454083
2000-02-14,-0.0004216922305929159,0.006006323248797691
2000-02-15,-0.016880998972666483,-0.012131330683736233
2000-02-16,0.01658900129525754,0.010679011769304756
2000-02-17,0.01077747552849514,0.011064536876783413
2000-02-18,-0.008125451912791433,-0.02515883741413278
2000-02-22,-0.00251054986260179,0.0013932371835327203
2000-02-23,0.0028851581132153265,0.013910614675377573
2000-02-24,0.00036921977196556905,-0.021664124427205243
2000-02-25,0.005787142473693664,-4.993974611940145e-05
2000-02-28,-0.0007453474795654665,-0.0025027662165008715
2000-02-29,0.002148295409124708,0.009266302236967566
2000-03-01,0.016723652224279684,0.0009050961377238696
2000-03-02,0.027341612478053653,0.015292647316373045
2000-03-03,0.012679698395674465,0.002623894141398172
2000-03-06,-0.015662229244543215,-0.020507964039909437
2000-03-07,0.005093211592701605,-0.001034359957970544
2000-03-08,-0.013102057195852918,0.0028305252060967746
2000-03-09,0.0035825506015819734,-0.0005783373649407024
2000-03-10,0.0007869588680719485,0.001156494967182722
2000-03-13,-0.03138849196851882,-0.01909836011501557
2000-03-14,0.0006571585402223672,0.018592503995330262
2000-03-15,-0.00828236160340817,-0.004259692731911596
2000-03-16,0.014192457394571898,0.029662544043212488
2000-03-17,0.00818312376416634,-0.013481084744923221
2000-03-20,0.011181370989872482,0.00879014967054937
2000-03-21,0.0012176805128640317,0.0034462698075735233
2000-03-22,0.002177465504391767,-0.002895901403436185
2000-03-23,0.0064785049045918966,0.014981373335960963
2000-03-24,-0.0011135708276155732,-0.006289390685268509
2000-03-27,-0.012858699865078904,0.00038647850674826135
2000-03-28,0.00011374825151133595,0.010937724189562728
2000-03-29,-0.01369363218964814,-0.01752652149146583
2000-03-30,-0.03097156458911697,-0.006394195817500699
2000-03-31,0.014626439692722149,-0.009811058138210498
2000-04-03,-0.021478954032196945,0.015677347487237536
2000-04-04,-0.011832209440607684,-0.0025327764082843022
2000-04-05,-0.004368864913704206,-0.01885001192763758
2000-04-06,0.02856637391597167,0.024960565366307648
2000-04-07,0.00127018404354137,-0.003293783541474678
2000-04-10,0.009512386367900734,-0.0008930586118434534
2000-04-11,-0.027733150421604735,-0.007068947346342974
2000-04-12,-0.01748908218965954,-0.011586942652391736
2000-04-13,-0.017971900347717455,0.0008145617010065774
2000-04-14,-0.05099631788987582,-0.03661874903047101
