Date,portfolio_mv,portfolio_bl
1999-01-05,0.0,0.0
1999-01-06,0.0,0.0
1999-01-07,0.0,0.0
1999-01-08,0.0,0.0
1999-01-11,0.0,0.0
1999-01-12,0.0,0.0
1999-01-13,0.0,0.0
1999-01-14,0.0,0.0
1999-01-15,0.0,0.0
1999-01-19,0.0,0.0
1999-01-20,0.0,0.0
1999-01-21,0.0,0.0
1999-01-22,0.0,0.0
1999-01-25,0.0,0.0
1999-01-26,0.0,0.0
1999-01-27,0.0,0.0
1999-01-28,0.0,0.0
1999-01-29,0.0,0.0
1999-02-01,0.0,0.0
1999-02-02,0.0,0.0
1999-02-03,0.0,0.0
1999-02-04,0.0,0.0
1999-02-05,0.0,0.0
1999-02-08,0.0,0.0
1999-02-09,0.0,0.0
1999-02-10,0.0,0.0
1999-02-11,0.0,0.0
1999-02-12,0.0,0.0
1999-02-16,0.0,0.0
1999-02-17,0.0,0.0
1999-02-18,0.0,0.0
1999-02-19,0.0,0.0
1999-02-22,0.0,0.0
1999-02-23,0.0,0.0
1999-02-24,0.0,0.0
1999-02-25,0.0,0.0
1999-02-26,0.0,0.0
1999-03-01,0.0,0.0
1999-03-02,0.0,0.0
1999-03-03,0.0,0.0
1999-03-04,0.0,0.0
1999-03-05,0.0,0.0
1999-03-08,0.0,0.0
1999-03-09,0.0,0.0
1999-03-10,0.0,0.0
1999-03-11,0.0,0.0
1999-03-12,0.0,0.0
1999-03-15,0.0,0.0
1999-03-16,0.0,0.0
1999-03-17,0.0,0.0
1999-03-18,0.0,0.0
1999-03-19,0.0,0.0
1999-03-22,0.0,0.0
1999-03-23,0.0,0.0
1999-03-24,0.0,0.0
1999-03-25,0.0,0.0
1999-03-26,0.0,0.0
1999-03-29,0.0,0.0
1999-03-30,0.0,0.0
1999-03-31,0.0,0.0
1999-04-01,0.0,0.0
1999-04-05,0.0,0.0
1999-04-06,0.0,0.0
1999-04-07,0.0,0.0
1999-04-08,0.0,0.0
1999-04-09,0.0,0.0
1999-04-12,0.0,0.0
1999-04-13,0.0,0.0
1999-04-14,0.0,0.0
1999-04-15,0.0,0.0
1999-04-16,0.0,0.0
1999-04-19,0.0,0.0
1999-04-20,0.0,0.0
1999-04-21,0.0,0.0
1999-04-22,0.0,0.0
1999-04-23,0.0,0.0
1999-04-26,0.0,0.0
1999-04-27,0.0,0.0
1999-04-28,0.0,0.0
1999-04-29,0.0,0.0
1999-04-30,0.0,0.0
1999-05-03,0.0,0.0
1999-05-04,0.0,0.0
1999-05-05,0.0,0.0
1999-05-06,0.0,0.0
1999-05-07,0.0,0.0
1999-05-10,0.0,0.0
1999-05-11,0.0,0.0
1999-05-12,0.0,0.0
1999-05-13,0.0,0.0
1999-05-14,0.0,0.0
1999-05-17,0.0,0.0
1999-05-18,0.0,0.0
1999-05-19,0.0,0.0
1999-05-20,0.0,0.0
1999-05-21,0.0,0.0
1999-05-24,0.0,0.0
1999-05-25,0.0,0.0
1999-05-26,0.0,0.0
1999-05-27,0.0,0.0
1999-05-28,0.0,0.0
1999-06-01,0.0,0.0
1999-06-02,0.0,0.0
1999-06-03,0.0,0.0
1999-06-04,0.0,0.0
1999-06-07,0.0,0.0
1999-06-08,0.0,0.0
1999-06-09,0.0,0.0
1999-06-10,0.0,0.0
1999-06-11,0.0,0.0
1999-06-14,0.0,0.0
1999-06-15,0.0,0.0
1999-06-16,0.0,0.0
1999-06-17,0.0,0.0
1999-06-18,0.0,0.0
1999-06-21,0.0,0.0
1999-06-22,0.0,0.0
1999-06-23,0.0,0.0
1999-06-24,0.0,0.0
1999-06-25,0.0,0.0
1999-06-28,0.0,0.0
1999-06-29,0.0,0.0
1999-06-30,0.0,0.0
1999-07-01,0.0,0.0
1999-07-02,0.0,0.0
1999-07-06,0.0,0.0
1999-07-07,0.0,0.0
1999-07-08,0.0,0.0
1999-07-09,0.0,0.0
1999-07-12,0.0,0.0
1999-07-13,0.0,0.0
1999-07-14,0.0,0.0
1999-07-15,0.0,0.0
1999-07-16,0.0,0.0
1999-07-19,0.0,0.0
1999-07-20,0.0,0.0
1999-07-21,0.0,0.0
1999-07-22,0.0,0.0
1999-07-23,0.0,0.0
1999-07-26,0.0,0.0
1999-07-27,0.0,0.0
1999-07-28,0.0,0.0
1999-07-29,0.0,0.0
1999-07-30,0.0,0.0
1999-08-02,0.0,0.0
1999-08-03,0.0,0.0
1999-08-04,0.0,0.0
1999-08-05,0.0,0.0
1999-08-06,0.0,0.0
1999-08-09,0.0,0.0
1999-08-10,0.0,0.0
1999-08-11,0.0,0.0
1999-08-12,0.0,0.0
1999-08-13,0.0,0.0
1999-08-16,0.0,0.0
1999-08-17,0.0,0.0
1999-08-18,0.0,0.0
1999-08-19,0.0,0.0
1999-08-20,0.0,0.0
1999-08-23,0.0,0.0
1999-08-24,0.0,0.0
1999-08-25,0.0,0.0
1999-08-26,0.0,0.0
1999-08-27,0.0,0.0
1999-08-30,0.0,0.0
1999-08-31,0.0,0.0
1999-09-01,0.0,0.0
1999-09-02,-0.019144222381565747,-0.011539052946461858
1999-09-03,0.01820150043954762,0.006050986133288131
1999-09-07,-0.010142437156498393,0.004072224303635581
1999-09-08,-0.005528921417338953,-0.003325446830071371
1999-09-09,0.03205829569721378,0.00874770516356565
1999-09-10,0.0018928373772057726,-0.0037799965731044353
1999-09-13,0.006323348752261215,-0.009891582371536969
1999-09-14,-0.008162750347722961,-0.006759173706537996
1999-09-15,-0.005921885671832411,-0.013088546825947492
1999-09-16,-0.014096408918745194,-0.0005107882594688309
1999-09-17,0.013952346258540945,0.004332729681686451
1999-09-20,0.0032147247717475686,0.004765528973855163
1999-09-21,-0.025120583862427284,-0.009907233639506892
1999-09-22,-0.0015345797214935588,-0.003984663788639299
1999-09-23,-0.013349940013181212,-0.0026409229951870677
1999-09-24,-0.01087203680486525,-0.007158186751384147
1999-09-27,0.007826495841920694,0.008335012109011882
1999-09-28,-0.0006864196779652948,-0.0003754536298747031
1999-09-29,-0.0001917478881691153,0.0003043911563518734
1999-09-30,0.010298355311232061,0.006199228396650495
1999-10-01,0.014006692997342581,0.006612625309085517
1999-10-04,0.00613227274704833,0.004155363423788566
1999-10-05,-0.008948834375319053,0.00056235750777223
1999-10-06,0.014323564347931184,0.004523766000225565
1999-10-07,-0.0005159730103464519,-0.0005765175483721359
1999-10-08,0.002840876043245775,-0.003328799985669544
1999-10-11,0.00530139895385449,0.004010449486328964
1999-10-12,-0.008589117632584499,0.0009616719227240385
1999-10-13,-0.023564422560997656,-0.011136521561605401
1999-10-14,0.021684674910928077,0.0004449809761724966
1999-10-15,-0.028507205062609012,-0.014955909632944218
1999-10-18,-0.013467602803711898,-0.009365387386919923
1999-10-19,0.016129012753960944,0.008735053208151586
1999-10-20,0.017890273937561853,0.005518619842352869
1999-10-21,-0.010132522023931502,-0.0037250643293067526
1999-10-22,0.02022141148412365,0.004043741325063454
1999-10-25,0.004538946499568566,-0.0018471731938259663
1999-10-26,0.00629838349821053,-0.0005417468599135573
1999-10-27,-0.0003801047320746344,-0.0035382060123456747
1999-10-28,0.013457617263584612,0.013580477709878006
1999-10-29,0.014776265099686412,0.011081195774025129
1999-11-01,-0.005549738272766107,-0.0014551214182373295
1999-11-02,0.0042910595752106645,0.004329552177540816
1999-11-03,0.00016141158412450157,0.0019670712086092674
1999-11-04,0.005078037377823799,-0.0038932978589793087
1999-11-05,0.003358268800825535,0.005462533284474403
1999-11-08,0.0008229617369096637,-0.006456190659257446
1999-11-09,-0.001011332434316263,0.008129902083922853
1999-11-10,0.009880960863545436,0.007205157925735399
1999-11-11,0.006828942766542917,0.009080925573072775
1999-11-12,0.0015015602702610135,-0.00610020832203474
1999-11-15,0.009286829816295509,0.009690419736114085
1999-11-16,0.004855265158058178,0.002436299912270744
1999-11-17,0.007033376764367617,0.0056614959877621125
1999-11-18,0.010032751401346738,0.0033789567028195255
1999-11-19,-0.004474942297267994,-0.003415951718023945
1999-11-22,0.004171328272668225,-0.010460100144404887
1999-11-23,-0.011845836325249406,-0.003800650514227569
1999-11-24,-0.0009219619856222029,-0.0073142944286683316
1999-11-26,0.022964300367484636,0.011120555875669524
1999-11-29,-0.0027889705058230037,-0.010234972553768564
1999-11-30,-0.017643694878206967,-0.006001742732461792
1999-12-01,-0.0002541192518553747,0.0004381568878334098
1999-12-02,0.016203747203292203,0.014190026562002309
1999-12-03,0.01875074831679592,0.014179768201937242
1999-12-06,0.013342578129603513,0.006287235926846882
1999-12-07,0.006415678447414804,-0.001545828170328987
1999-12-08,0.016035572715939833,0.008518815618216349
1999-12-09,-0.006916391998234242,-0.004020497277181036
1999-12-10,-0.009103319262679696,-0.005808638170977633
1999-12-13,-0.0010612248807784566,0.0022913049234732996
1999-12-14,0.0016613712458098972,-0.008364190893461458
1999-12-15,-0.008161338408480236,0.0005209566283753585
1999-12-16,0.008954527551533838,0.012052121892398054
1999-12-17,0.005548251934992793,0.008547716833079606
1999-12-20,0.0015340181121847706,0.0005839385721935295
1999-12-21,-0.010440880417865048,-0.004752016802438955
1999-12-22,0.02677040491343208,0.00845848206117664
1999-12-23,0.013640321784484395,0.011926496523676576
1999-12-27,0.009473078001473048,0.010617040898431825
1999-12-28,0.0062639683490917026,-0.007924219602456307
1999-12-29,-0.0015021182486741962,-0.003026275433847626
1999-12-30,0.0133670453749638,0.01543814932771613
1999-12-31,0.003789111080106763,-0.006115776923723612
2000-01-03,0.011994807444254959,0.019038422006908494
2000-01-04,-0.042669247600947584,-0.02987464721063509
2000-01-05,-0.01504722488093049,0.004339142519047352
2000-01-06,-0.018684197283227844,-0.009275000105952747
2000-01-07,0.020959345366475774,0.027693334739537973
2000-01-10,0.021168927621123813,0.003955708253696286
2000-01-11,0.00018661659623657256,-0.0071813875655044905
2000-01-12,-0.009792690945358099,-0.005640304606691749
2000-01-13,0.008615279335448898,0.0029882028711864777
2000-01-14,0.017466810374888037,0.007245894705260393
2000-01-18,-0.012922705748517307,-0.025858216468416198
2000-01-19,-0.002324985907284495,-0.0023686227465177226
2000-01-20,0.0034521941467423344,-0.005199356370704374
2000-01-21,-0.01024078252401496,-0.009455729803572274
2000-01-24,-0.0053498588244074025,-0.010126090717538047
2000-01-25,-0.0002879788380179826,-0.005906758641882273
2000-01-26,0.018189869588440075,0.005511317206398535
2000-01-27,-0.00766653383489352,-0.0029967427750675337
2000-01-28,-0.02728771207195611,-0.029226522402633993
2000-01-31,0.0029319102455704783,-0.003741449776679626
2000-02-01,0.018766075074143712,0.0021881104389535407
2000-02-02,0.03493172703557461,0.018060826859269637
2000-02-03,0.01810099726579102,0.009429878141071737
2000-02-04,0.013918624754249525,-0.012050286268903546
2000-02-07,-0.005894795878908115,-0.005395199846868658
2000-02-08,0.012543018138554364,0.017972092545158396
2000-02-09,0.009566391158504273,0.008202292542015132
2000-02-10,-0.008676979110416792,-0.006844597048721412
2000-02-11,-0.0019443130192366162,-0.016189108879811308
2000-02-14,-0.003069662596658458,0.005795022266098843
2000-02-15,-0.022068845865189087,-0.012589160626371004
2000-02-16,0.014797808370962895,0.011463633385941679
2000-02-17,0.011880238248829356,0.011278693388881917
2000-02-18,-0.008450346264255696,-0.024210512859870373
2000-02-22,-0.004439354870051508,0.0018965632347202911
2000-02-23,0.004219240446227401,0.01319922268293252
2000-02-24,0.0037293938436551827,-0.020958796473636947
2000-02-25,0.010589467122640119,-0.0002510428049369276
2000-02-28,0.0021511254025455588,-0.002578853612017367
2000-02-29,0.0036792800157133916,0.009074902630628962
2000-03-01,0.019462940578759823,0.0011492055534590426
2000-03-02,0.022620299466266418,0.015490737127574903
2000-03-03,0.01012931374128001,0.0029695860457850222
2000-03-06,-0.015527944769746315,-0.020368253215929145
2000-03-07,0.004289271085674041,-0.0006930604618035153
2000-03-08,-0.015562038306841436,0.002234047097458648
2000-03-09,0.0020343292688969933,-0.0008329406599525435
2000-03-10,0.0032443666076252264,0.0008298463764848413
2000-03-13,-0.030515571715736475,-0.019433936245412297
2000-03-14,0.0030273680603302234,0.018385375019708116
2000-03-15,-0.008992779912938183,-0.004337005390583842
2000-03-16,0.015170645063170635,0.02950100627918337
2000-03-17,0.0073926075948664936,-0.01288881387989792
2000-03-20,0.011230358788128295,0.009002994849106532
2000-03-21,0.00029476944602411484,0.003958532018801847
2000-03-22,0.003766212772015759,-0.002792135529781956
2000-03-23,0.007970341200075714,0.015060695192159461
2000-03-24,-0.002169155086670199,-0.006729332736975123
2000-03-27,-0.013091766574530862,0.000250928364368964
2000-03-28,0.002745662620579926,0.010777362893404486
2000-03-29,-0.012306828820969512,-0.017597399286224013
2000-03-30,-0.028676164647073194,-0.00641411265773488
2000-03-31,0.015509197862944392,-0.009666363627311337
2000-04-03,-0.019453001471993515,0.015249215193686595
2000-04-04,-0.01455347789961945,-0.001909288864546602
2000-04-05,-0.0036166207555756637,-0.018839239294459506
2000-04-06,0.026351364428446628,0.023722794166176786
2000-04-07,-0.0014990704672499901,-0.0034753813144069072
2000-04-10,0.009612401581130943,-0.0006446129731160766
2000-04-11,-0.025417062041612447,-0.007504748491174673
2000-04-12,-0.014387555533410937,-0.01051332602589693
2000-04-13,-0.01674922497085242,0.0010183923911694977
2000-04-14,-0.045875138294359165,-0.03625424925878002
2000-04-17,0.012860109949111414,-0.0010270645853256116
2000-04-18,0.026846868758005505,0.0028023358835300386
2000-04-19,0.021147786394071066,0.01747264771400723
2000-04-20,-0.0033897581504024766,-0.0029773001636630983
2000-04-24,-0.01629958347557298,-0.020223594499742228
2000-04-25,0.015153704178335383,0.01915981165833103
2000-04-26,0.007703592385031241,0.00941225190925325
2000-04-27,-0.002423412270738935,-0.019809681966589953
2000-04-28,0.012322801437956214,0.014710828773956073
2000-05-01,0.0017379635233849393,-0.0033337967670968977
2000-05-02,0.0030991128459797804,0.0055144481991234225
2000-05-03,-0.015803989175843438,-0.02184237108147822
2000-05-04,0.00292506412605782,-0.00912961851968943
2000-05-05,0.011209289049442468,0.016229201654970542
2000-05-08,-0.010695762835200085,-0.0123849100956657
2000-05-09,-0.01510533337474017,0.0049347792727084125
2000-05-10,-0.012902540524676352,-0.01273205669175038
2000-05-11,0.003038543267481149,0.0026049734140346763
2000-05-12,0.011636147110449146,0.015876417133013087
